secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1643.2,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1643.4,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1641.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1643,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1643.2,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
29,92,0,0,0,0,764,1643.8,0.00000000,0.00000000,0,0,26,0,49,0,0,0,0,0,0,0,0
30,92,0,0,0,0,876,1643.8,0.00000000,0.00000000,0,0,26,0,49,0,0,0,0,0,0,0,0
31,127,0,0,0,0,876,1643.8,0.00000000,0.00000000,0,0,26,0,51,0,0,0,0,0,0,0,0
32,141,0,0,0,0,905,1644,0.00000000,0.00000000,0,0,26,0,51,0,0,0,0,0,0,0,0
33,138,0,0,0,0,894,1644,0.00000000,0.00000000,0,0,26,0,51,0,0,0,0,0,0,0,0
34,138,0,0,0,0,0,1644,0.00000000,0.00000000,0,0,26,0,54,0,0,0,0,0,0,0,0
35,138,0,0,0,0,0,1644,0.00000000,0.00000000,0,0,26,0,54,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,1644,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,1644,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,1644,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,26,0,-255,0,0,0,0,0,0,0,0
